;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
hillegomrob;gem_rijswijk;;;;;;;;;;;;;Mentions;21-4-2021 14:20;@HaaggDen @Gem_Rijswijk Verhuis naar niets Korea dan weet je pas wat misdaad is #wappie https://t.co/axKBphdov0;;;wappie;21-4-2021 14:20;https://twitter.com/#!/hillegomrob/status/1384874619694374914;;;1384874619694374914;1384872007918051332
hillegomrob;haaggden;;;;;;;;;;;;;Replies to;21-4-2021 14:20;@HaaggDen @Gem_Rijswijk Verhuis naar niets Korea dan weet je pas wat misdaad is #wappie https://t.co/axKBphdov0;;;wappie;21-4-2021 14:20;https://twitter.com/#!/hillegomrob/status/1384874619694374914;;;1384874619694374914;1384872007918051332
correctietikje;5uurshownl;;;;;;;;;;;;;Mentions;21-4-2021 15:30;@KatjaWerda @EinsteinBarbie @5uurshownl Bedoelt! Voorstelt! #leerNederlands #wappie;;;leernederlands wappie;21-4-2021 15:30;https://twitter.com/#!/correctietikje/status/1384892319661498373;;;1384892319661498373;1384871551925952512
correctietikje;einsteinbarbie;;;;;;;;;;;;;Mentions;21-4-2021 15:30;@KatjaWerda @EinsteinBarbie @5uurshownl Bedoelt! Voorstelt! #leerNederlands #wappie;;;leernederlands wappie;21-4-2021 15:30;https://twitter.com/#!/correctietikje/status/1384892319661498373;;;1384892319661498373;1384871551925952512
exposefascism75;cat_gaming_;;;;;;;;;;;;;Mentions;21-4-2021 16:04;"@juansmartina @MerlotVine @coristus @OlifaNT @Reaguren @Cat_Gaming_ @MinPres @hugodejonge ""De hel dat zijn de ander… https://t.co/8D82W5TMZK";https://twitter.com/i/web/status/1384900923026198529;twitter.com;;21-4-2021 16:04;https://twitter.com/#!/exposefascism75/status/1384900923026198529;;;1384900923026198529;1384898618927222788
exposefascism75;reaguren;;;;;;;;;;;;;Mentions;21-4-2021 16:04;"@juansmartina @MerlotVine @coristus @OlifaNT @Reaguren @Cat_Gaming_ @MinPres @hugodejonge ""De hel dat zijn de ander… https://t.co/8D82W5TMZK";https://twitter.com/i/web/status/1384900923026198529;twitter.com;;21-4-2021 16:04;https://twitter.com/#!/exposefascism75/status/1384900923026198529;;;1384900923026198529;1384898618927222788
exposefascism75;coristus;;;;;;;;;;;;;Mentions;21-4-2021 16:04;"@juansmartina @MerlotVine @coristus @OlifaNT @Reaguren @Cat_Gaming_ @MinPres @hugodejonge ""De hel dat zijn de ander… https://t.co/8D82W5TMZK";https://twitter.com/i/web/status/1384900923026198529;twitter.com;;21-4-2021 16:04;https://twitter.com/#!/exposefascism75/status/1384900923026198529;;;1384900923026198529;1384898618927222788
exposefascism75;merlotvine;;;;;;;;;;;;;Mentions;21-4-2021 16:04;"@juansmartina @MerlotVine @coristus @OlifaNT @Reaguren @Cat_Gaming_ @MinPres @hugodejonge ""De hel dat zijn de ander… https://t.co/8D82W5TMZK";https://twitter.com/i/web/status/1384900923026198529;twitter.com;;21-4-2021 16:04;https://twitter.com/#!/exposefascism75/status/1384900923026198529;;;1384900923026198529;1384898618927222788
exposefascism75;juansmartina;;;;;;;;;;;;;Replies to;21-4-2021 16:04;"@juansmartina @MerlotVine @coristus @OlifaNT @Reaguren @Cat_Gaming_ @MinPres @hugodejonge ""De hel dat zijn de ander… https://t.co/8D82W5TMZK";https://twitter.com/i/web/status/1384900923026198529;twitter.com;;21-4-2021 16:04;https://twitter.com/#!/exposefascism75/status/1384900923026198529;;;1384900923026198529;1384898618927222788
