;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
vandijkene;robjetten;;;;;;;;;;;;;Mentions;29-4-2021 11:52;RT @FemkeMerel: Wow... Dit is echt héél gênant. Wat doet @RobJetten!... Rob, wat doe je! Doorbréék die coalitiedwang nou eens!! Kom op! Laa…;;;;29-4-2021 11:52;https://twitter.com/#!/vandijkene/status/1387736571118596098;;;1387736571118596098;
vandijkene;femkemerel;;;;;;;;;;;;;Mentions;29-4-2021 11:52;RT @FemkeMerel: Wow... Dit is echt héél gênant. Wat doet @RobJetten!... Rob, wat doe je! Doorbréék die coalitiedwang nou eens!! Kom op! Laa…;;;;29-4-2021 11:52;https://twitter.com/#!/vandijkene/status/1387736571118596098;;;1387736571118596098;
poldibachman;poldibachman;;;;;;;;;;;;;Tweet;29-4-2021 11:52;#notulendebat Straks komt de daadkrachtige  Sigrid Kaag van de D66. En dan word alles weer zeer duidelijk uitgelegd… https://t.co/Hy0RdIuVu0;https://twitter.com/i/web/status/1387736572292907018;twitter.com;notulendebat;29-4-2021 11:52;https://twitter.com/#!/poldibachman/status/1387736572292907018;;;1387736572292907018;
heen_en_weer;heen_en_weer;;;;;;;;;;;;;Tweet;29-4-2021 11:52;Wat een stelletje eeuwige ambtenaren zonder daadkracht of enig inzicht. Neem Anne Kuik.... nooit van de harde weg g… https://t.co/rIpVcPWUUK;https://twitter.com/i/web/status/1387736574528528388;twitter.com;;29-4-2021 11:52;https://twitter.com/#!/heen_en_weer/status/1387736574528528388;;;1387736574528528388;
annemieverlind1;depeiling;;;;;;;;;;;;;Mentions;29-4-2021 11:52;RT @depeiling: Retweet als jij naar het notulendebat kijkt. #notulendebat;;;notulendebat;29-4-2021 11:52;https://twitter.com/#!/annemieverlind1/status/1387736590676602882;;;1387736590676602882;
norrotterdam;geertwilderspvv;;;;;;;;;;;;;Mentions;29-4-2021 11:52;"RT @geertwilderspvv: Wat mevrouw Hermans (VVD) laat zien, is geen macht of tegenmacht, maar 100% onmacht. 

#notulendebat #Wilders https://…";;;notulendebat wilders;29-4-2021 11:52;https://twitter.com/#!/norrotterdam/status/1387736599979507722;;;1387736599979507722;
maggi55857282;geertwilderspvv;;;;;;;;;;;;;Mentions;29-4-2021 11:52;RT @geertwilderspvv: Een ministerraad vol incompetente bange mensen, narcisten, egoïsten die vooral bezig waren hun eigen hachje te redden.…;;;;29-4-2021 11:52;https://twitter.com/#!/maggi55857282/status/1387736601439125506;;;1387736601439125506;
guntherb2;guntherb2;;;;;;;;;;;;;Tweet;29-4-2021 11:52;Ik zie dat fractievoorzitters vooral ingezet worden ( en ingefluisterd zijn ?) om als afleiding te dienen voor de m… https://t.co/yDnrOw8l2v;https://twitter.com/i/web/status/1387736602131193858;twitter.com;;29-4-2021 11:52;https://twitter.com/#!/guntherb2/status/1387736602131193858;;;1387736602131193858;
johnswelsen;johnswelsen;;;;;;;;;;;;;Tweet;29-4-2021 11:52;Overigens heeft Omtzigt (alom bewonderd) zijn zegen aan Hoekstra gegeven en zelf de kans laten lopen lijsttrekker te worden.  #notulendebat;;;notulendebat;29-4-2021 11:52;https://twitter.com/#!/johnswelsen/status/1387736609186004993;;;1387736609186004993;
gurtie12;hermans_sophie;;;;;;;;;;;;;Mentions;29-4-2021 11:52;Waar is mevrouw Lodder VVD , die hoor ik nu even liever dan die kwek van een @hermans_sophie  #notulendebat;;;notulendebat;29-4-2021 11:52;https://twitter.com/#!/gurtie12/status/1387736617553629185;;;1387736617553629185;
richardaremmers;d66;;;;;;;;;;;;;Mentions;29-4-2021 11:52;"RT @geertwilderspvv: Het ware gezicht van @D66:
een partij vol a-liberale, vrijheidsbeperkende en Kamerlid-knevelende opportunisten.  

#no…";;;;29-4-2021 11:52;https://twitter.com/#!/richardaremmers/status/1387736618006720513;;;1387736618006720513;
richardaremmers;geertwilderspvv;;;;;;;;;;;;;Mentions;29-4-2021 11:52;"RT @geertwilderspvv: Het ware gezicht van @D66:
een partij vol a-liberale, vrijheidsbeperkende en Kamerlid-knevelende opportunisten.  

#no…";;;;29-4-2021 11:52;https://twitter.com/#!/richardaremmers/status/1387736618006720513;;;1387736618006720513;
