;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
korinthenbaum;actualiteitjunk;;;;;;;;;;3;;;Mentions;25-4-2021 20:35;"RT @actualiteitjunk: #keepdistance #COVID19....
#anderhalvemeter #wappie https://t.co/0gaPZfEuwd";;;keepdistance covid19 anderhalvemeter wappie;25-4-2021 20:35;https://twitter.com/#!/korinthenbaum/status/1386418722706010113;;;1386418722706010113;
ghostway5;ghostway5;;;;;;;;;;4;;;Tweet;25-4-2021 20:46;Als ik dit zeg ben ik een #wappie https://t.co/6nEwz8q1l4;https://twitter.com/Francolinie/status/1386072460789964801;twitter.com;wappie;25-4-2021 20:46;https://twitter.com/#!/ghostway5/status/1386421369156505600;;;1386421369156505600;
rodirida;rodirida;;;;;;;;;;5;;;Tweet;25-4-2021 20:56;"Wat een idioot volk zijn wij toch..;  meer vrij rondlopend dan opgesloten.. #wappie's https://t.co/tcziQJMFvx";https://twitter.com/Nieuwsuur/status/1386399897864212482;twitter.com;wappie;25-4-2021 20:56;https://twitter.com/#!/rodirida/status/1386423938457161735;;;1386423938457161735;
real_krukeltje;real_krukeltje;;;;;;;;;;6;;;Tweet;25-4-2021 21:00;"Aliens speuren naar leven op aarde nadat alle coronavaccinaties zijn gedaan #wappie
https://t.co/zs6SiMcxsN";https://twitter.com/JCompen/status/1386419151376375808?ref_src=twsrc%5Etfw;twitter.com;wappie;25-4-2021 21:00;https://twitter.com/#!/real_krukeltje/status/1386424845827670017;;;1386424845827670017;1386264156266016768
puck1907;actualiteitjunk;;;;;;;;;;7;;;Mentions;25-4-2021 21:12;"RT @actualiteitjunk: #keepdistance #COVID19....
#anderhalvemeter #wappie https://t.co/0gaPZfEuwd";;;keepdistance covid19 anderhalvemeter wappie;25-4-2021 21:12;https://twitter.com/#!/puck1907/status/1386427936622878726;;;1386427936622878726;
dekaleman1;dekaleman1;;;;;;;;;;8;;;Tweet;25-4-2021 23:08;"Stel je zet een IC-bed voor de deur van een #Wappie die graag #koffiedrinken 

Ik liet even mijn gedachten de vrije loop.";;;wappie koffiedrinken;25-4-2021 23:08;https://twitter.com/#!/dekaleman1/status/1386457028076441608;;;1386457028076441608;
blikopener333;actualiteitjunk;;;;;;;;;;9;;;Mentions;26-4-2021 00:17;"RT @actualiteitjunk: #keepdistance #COVID19....
#anderhalvemeter #wappie https://t.co/0gaPZfEuwd";;;keepdistance covid19 anderhalvemeter wappie;26-4-2021 00:17;https://twitter.com/#!/blikopener333/status/1386474358865076226;;;1386474358865076226;
hans_mar1;hans_mar1;;;;;;;;;;10;;;Tweet;26-4-2021 04:43;#wappie #Vaccinatie  #COVID19 Het is toch raar dat de antivaxxers na zo 14 mnd klagen en grienen nog steeds geen id… https://t.co/6izU2BGcFq;https://twitter.com/i/web/status/1386541358740086785;twitter.com;wappie vaccinatie covid19;26-4-2021 04:43;https://twitter.com/#!/hans_mar1/status/1386541358740086785;;;1386541358740086785;
