;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
basile061;joebiden;;;;;;;;;;;;;Mentions;2-5-2021 12:31;RT @EricNaulleau: Nous sommes le 2 mai 2021 et @JoeBiden n’a toujours pas été arrêté par l’armée contrairement à ce qu’annonçaient tous les…;;;;2-5-2021 12:31;https://twitter.com/#!/basile061/status/1388833534773768195;;;1388833534773768195;
basile061;ericnaulleau;;;;;;;;;;;;;Mentions;2-5-2021 12:31;RT @EricNaulleau: Nous sommes le 2 mai 2021 et @JoeBiden n’a toujours pas été arrêté par l’armée contrairement à ce qu’annonçaient tous les…;;;;2-5-2021 12:31;https://twitter.com/#!/basile061/status/1388833534773768195;;;1388833534773768195;
kiermunn;carymarules;;;;;;;;;;;;;Mentions;2-5-2021 12:33;RT @spicygarage: For daring to criticize Chris Sky and his group of #antivax, anti-health measures, #qAnon followers,  @CarymaRules receive…;;;antivax qanon;2-5-2021 12:33;https://twitter.com/#!/kiermunn/status/1388833936361598979;;;1388833936361598979;
kiermunn;spicygarage;;;;;;;;;;;;;Mentions;2-5-2021 12:33;RT @spicygarage: For daring to criticize Chris Sky and his group of #antivax, anti-health measures, #qAnon followers,  @CarymaRules receive…;;;antivax qanon;2-5-2021 12:33;https://twitter.com/#!/kiermunn/status/1388833936361598979;;;1388833936361598979;
lmjcstt;amazi;;;;;;;;;;;;;Mentions;2-5-2021 12:33;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 12:33;https://twitter.com/#!/lmjcstt/status/1388834148362641412;;;1388834148362641412;
lmjcstt;jarue369;;;;;;;;;;;;;Mentions;2-5-2021 12:33;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 12:33;https://twitter.com/#!/lmjcstt/status/1388834148362641412;;;1388834148362641412;
helloeurope62;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 12:34;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 12:34;https://twitter.com/#!/helloeurope62/status/1388834365950541830;;;1388834365950541830;
fartvader4;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 12:35;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 12:35;https://twitter.com/#!/fartvader4/status/1388834492845109248;;;1388834492845109248;
honeywellcom;cnews;;;;;;;;;;;;;Replies to;2-5-2021 12:35;@CNEWS #Cnews Envoyez cette vidéo à #Hollywood maison de #Windsor , #BillGates #Illuminati Laissez-les entendre la… https://t.co/LPWkaV8eg3;https://twitter.com/i/web/status/1388834633798852609;twitter.com;cnews hollywood windsor billgates illuminati;2-5-2021 12:35;https://twitter.com/#!/honeywellcom/status/1388834633798852609;;;1388834633798852609;
chrvm19;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 12:42;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 12:42;https://twitter.com/#!/chrvm19/status/1388836303974850561;;;1388836303974850561;
changnoi2018;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 12:43;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 12:43;https://twitter.com/#!/changnoi2018/status/1388836436384927746;;;1388836436384927746;
rouzysc;mittromney;;;;;;;;;;;;;Replies to;2-5-2021 12:45;@MittRomney is one of the only conservatives left in elected office. When Trump abiding, #qanon conspiracy spreadin… https://t.co/hWUgGiNko5;https://twitter.com/i/web/status/1388837044814815234;twitter.com;qanon;2-5-2021 12:45;https://twitter.com/#!/rouzysc/status/1388837044814815234;;;1388837044814815234;
cjmu;pinkantoine;;;;;;;;;;;;;Mentions;2-5-2021 12:49;"RT @PinkAntoine: Another Republican to add to the actual cabal of pedophiles and abusers, known as the GOP.
 #GOPPedoRing #QAnon";;;goppedoring qanon;2-5-2021 12:49;https://twitter.com/#!/cjmu/status/1388838050730491911;;;1388838050730491911;
lismtal7234;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:51;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:51;https://twitter.com/#!/lismtal7234/status/1388838611756404737;;;1388838611756404737;
