;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
hillegomrob;;;;;http://pbs.twimg.com/profile_images/1255112553887420419/Ey_plKpy_normal.jpg;;;;;"hillegomrob

@HaaggDen @Gem_Rijswijk Verhuis
naar niets Korea dan weet je pas
wat misdaad is #wappie https://t.co/axKBphdov0";;4.003,6;7.975,1;;;;;;;;;;;;;3;;;40;5;332;67;;hoofdlaborant;Zuid-Holland, Nederland;;;1-2-2020 11:29;Open Twitter Page for This Person;https://twitter.com/hillegomrob;Yes;;;;;
gem_rijswijk;;;;;http://pbs.twimg.com/profile_images/1808244367/logo-rw-twitter_normal.jpg;;;;;"gem_rijswijk

";;4.726,8;3.150,0;;;;;;;;;;;;;4;;;287;5039;6913;79;;Officiële Twitter gemeente Rijswijk. Beheer: team Communicatie en Webcare. (Webcare ma-vr kantooruren).  Volg ook FB https://t.co/gqf6fJbfKn;Rijswijk ZH, the Netherlands;http://t.co/YDu1q9o8qG;;31-8-2009 09:26;Open Twitter Page for This Person;https://twitter.com/gem_rijswijk;No;;;;;
haaggden;;;;;http://pbs.twimg.com/profile_images/1383763506286120967/6m83Srf4_normal.jpg;;;;;"haaggden

";;5.898,3;6.152,0;;;;;;;;;;;;;5;;;299;90;1123;490;;"Hagenees Schilderswijk 

GEEN DM";;;;18-4-2021 12:44;Open Twitter Page for This Person;https://twitter.com/haaggden;No;;;;;
correctietikje;;;;;http://pbs.twimg.com/profile_images/1365317944608186369/9LO4Yi9a_normal.jpg;;;;;"correctietikje

@KatjaWerda @EinsteinBarbie @5uurshownl
Bedoelt! Voorstelt! #leerNederlands
#wappie";;4.102,7;1.623,2;;;;;;;;;;;;;6;;;1031;465;4210;1316;;Werkende opvolger van @Correctietik;;;;3-11-2020 14:48;Open Twitter Page for This Person;https://twitter.com/correctietikje;Yes;;;;;
5uurshownl;;;;;http://pbs.twimg.com/profile_images/1347237049527656448/Xg4-TlGT_normal.jpg;;;;;"5uurshownl

";;2.045,7;3.383,6;;;;;;;;;;;;;7;;;291;432;1534;112;;Elke werkdag om 17:00 te zien bij @SBS6!;;;;4-8-2020 06:43;Open Twitter Page for This Person;https://twitter.com/5uurshownl;No;;;;;
einsteinbarbie;;;;;http://pbs.twimg.com/profile_images/1356926394845003779/Vz7UzQwJ_normal.jpg;;;;;"einsteinbarbie

";;2.807,5;6.755,4;;;;;;;;;;;;;8;;;2274;27068;44618;107150;;Manvriendelijk feminist.;Amsterdam;https://t.co/bxwDBX6S8J;;26-3-2009 09:43;Open Twitter Page for This Person;https://twitter.com/einsteinbarbie;No;;;;;
exposefascism75;;;;;http://pbs.twimg.com/profile_images/1167147410344357891/CNXnyBPx_normal.jpg;;;;;"exposefascism75

@juansmartina @MerlotVine @coristus
@OlifaNT @Reaguren @Cat_Gaming_
@MinPres @hugodejonge ""De hel dat
zijn de ander… https://t.co/8D82W5TMZK";;4.406,5;1.219,7;;;;;;;;;;;;;9;;;151;57;1239;1384;;"White positive.
Free thinker.
Critic of anti western policies.";;;;27-2-2017 18:11;Open Twitter Page for This Person;https://twitter.com/exposefascism75;Yes;;;;;
cat_gaming_;;;;;http://pbs.twimg.com/profile_images/1346661442624385024/rW8vqgJK_normal.jpg;;;;;"cat_gaming_

";;6.145,3;3.156,6;;;;;;;;;;;;;10;;;1164;790;47845;82169;;Causing online cat-astrophe, software guy by daytime, Thundercat @ night Hoooooooo.;Nederland;;;16-2-2016 00:31;Open Twitter Page for This Person;https://twitter.com/cat_gaming_;No;;;;;
reaguren;;;;;http://pbs.twimg.com/profile_images/1346810063374209026/jlxejWNP_normal.jpg;;;;;"reaguren

";;3.355,1;3.535,5;;;;;;;;;;;;;11;;;914;1605;43882;18872;;Broker | Doorgaans ironisch, cynisch, sarcastisch of absurdistisch | Veelal Politiek, Financial Markets, Korea | Soms verloren op het Koreaanse schiereiland;In de buurt van Alkmaar/Seoul;https://t.co/xckUafRAQE;;13-1-2015 16:08;Open Twitter Page for This Person;https://twitter.com/reaguren;No;;;;;
