;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
basile061;;;;;http://pbs.twimg.com/profile_images/1241401801016041473/HughgD4S_normal.jpg;;;;;"basile061

RT @EricNaulleau: Nous sommes le
2 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;346;339;403908;93285;;;;;;27-10-2017 14:51;Open Twitter Page for This Person;https://twitter.com/basile061;Yes;;;;;
joebiden;;;;;http://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg;;;;;"joebiden

";;;;;;;;;;;;;;;;;;;47;30077658;7327;20;;Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.;Washington, DC;https://t.co/UClrPuJpyZ;;11-3-2007 17:51;Open Twitter Page for This Person;https://twitter.com/joebiden;No;;;;;
ericnaulleau;;;;;http://pbs.twimg.com/profile_images/700741957480370176/NYiJG855_normal.jpg;;;;;"ericnaulleau

Nous sommes le 3 mai 2021 et @JoeBiden
n’a toujours pas été arrêté par
l’armée contrairement à ce qu’annonçaient
to… https://t.co/D8UjfnB8bp";;;;;;;;;;;;;;;;;;;391;95358;9169;13790;;Lecteur;;;;19-2-2016 17:42;Open Twitter Page for This Person;https://twitter.com/ericnaulleau;Yes;;;;;
kiermunn;;;;;http://pbs.twimg.com/profile_images/491371929085829120/nVLBwbAw_normal.jpeg;;;;;"kiermunn

RT @spicygarage: For daring to
criticize Chris Sky and his group
of #antivax, anti-health measures,
#qAnon followers, @CarymaRules
receive…";;;;;;;;;;;;;;;;;;;955;384;17573;80846;;;;;;22-2-2012 23:06;Open Twitter Page for This Person;https://twitter.com/kiermunn;Yes;;;;;
carymarules;;;;;http://pbs.twimg.com/profile_images/799785552836960256/SnqU0WeR_normal.jpg;;;;;"carymarules

";;;;;;;;;;;;;;;;;;;4994;11214;30346;50341;;Lawyer + Editorial Cartoonist for hire. @NORMLCanada ED. Pro Wresting Enthusiast. @uocommonlaw alum. Tweets ≠ legal advice. RTs ≠ endorsements. she/her;Toronto, Ontario;https://t.co/fyhbOGXJrX;;18-11-2016 20:53;Open Twitter Page for This Person;https://twitter.com/carymarules;No;;;;;
spicygarage;;;;;http://pbs.twimg.com/profile_images/970685786927476738/JUrNsn6M_normal.jpg;;;;;"spicygarage

";;;;;;;;;;;;;;;;;;;107;572;44159;100655;;Why #Toronto needs safe, separated #bikeTO lanes, in 3 factual, sourced points: https://t.co/DEUgVKrKxs;Toronto, Ontario;;;8-10-2013 20:52;Open Twitter Page for This Person;https://twitter.com/spicygarage;No;;;;;
lmjcstt;;;;;http://pbs.twimg.com/profile_images/1384807633664679954/6GuPm-J5_normal.jpg;;;;;"lmjcstt

RT @jarue369: Did anyone hold @PrayingMedic
responsible for lying to everyone
or did we let him off the hook,
too? Same question for @Amazi…";;;;;;;;;;;;;;;;;;;698;2019;93096;38386;;† Pre-Vatican II Catholic † Rev 6:10 † Ezra 10:4 † Virgin Most Powerful #OraProNobis ⚔️ Novus Ordo is the work of Freemasons - Abrogate Novus Ordo;Small town USA;;;13-12-2016 21:31;Open Twitter Page for This Person;https://twitter.com/lmjcstt;Yes;;;;;
amazi;;;;;http://pbs.twimg.com/profile_images/963521549457379329/qU1mEjLf_normal.jpg;;;;;"amazi

";;;;;;;;;;;;;;;;;;;576;299;478;137;;Amazi provides a sensible alternative to bottled water by making it easy to find places to fill reusable bottles and supplying info on the quality of your water;New York, NY;http://t.co/4rmHmkl9jT;;3-10-2012 20:17;Open Twitter Page for This Person;https://twitter.com/amazi;No;;;;;
jarue369;;;;;http://pbs.twimg.com/profile_images/1247244828196421634/PS0PzI1b_normal.jpg;;;;;"jarue369

@FrankGeurts3 @brian7060 @prayingmedic
@amazingpolly Jack Posobiec still
has a job and Steve Bannon just
signed the… https://t.co/W4oOAL9EDo";;;;;;;;;;;;;;;;;;;4094;9246;51927;54111;;"I am a man from Katuah. Author. 
Technology of Belief: https://t.co/SZYsHPd9ea 
Blueprints of Mind Control: https://t.co/AvoUEkM1hm";Highlands of Appalachia;https://t.co/rx5irnpxlz;;1-1-2018 13:56;Open Twitter Page for This Person;https://twitter.com/jarue369;Yes;;;;;
helloeurope62;;;;;http://pbs.twimg.com/profile_images/1372690665990189062/sqKP01cv_normal.jpg;;;;;"helloeurope62

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;3043;2215;109068;75455;;🇪🇺 EU citizen from the Netherlands, proud citizen of nowhere. Voted with my feet and will never forgive Brexiteers. Lists and #Covididiots = block;;;;26-5-2017 22:21;Open Twitter Page for This Person;https://twitter.com/helloeurope62;Yes;;;;;
rudybouma;;;;;http://pbs.twimg.com/profile_images/1263176780782993410/2ia7VcGB_normal.jpg;;;;;"rudybouma

";;;;;;;;;;;;;;;;;;;1989;23128;17256;4825;;Journalist @Nieuwsuur | Dutch public TV | covering: disinformation & tech | extremism | crisis-area’s |Anonimo's: ignore | Whatabouters: block | Spammers: block;Amsterdam, the Netherlands;https://t.co/YrFuQUN1fA;;4-1-2010 15:39;Open Twitter Page for This Person;https://twitter.com/rudybouma;No;;;;;
fartvader4;;;;;http://pbs.twimg.com/profile_images/1377603792850583552/GPCjosGY_normal.jpg;;;;;"fartvader4

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;729;492;1308;11820;;Laat scheten, maar niet op commando // Links van het midden, daar waar je hart zit. #TeamWaterkanon #TeamFriet #DeepScheet https://www.hoewerkteencovidvaccinati;🛸;https://t.co/Cpkh38TPKi;;28-9-2020 20:19;Open Twitter Page for This Person;https://twitter.com/fartvader4;Yes;;;;;
honeywellcom;;;;;http://pbs.twimg.com/profile_images/1372009147034710018/pG3-gRkp_normal.jpg;;;;;"honeywellcom

@CNEWS #Cnews Envoyez cette vidéo
à #Hollywood maison de #Windsor
, #BillGates #Illuminati Laissez-les
entendre la… https://t.co/LPWkaV8eg3";;;;;;;;;;;;;;;;;;;157;346;19607;16653;;TWITTER allez voir si je suis là bas mais avant raye mon numéro de portable . pour le reste t’inquiète pas l’application sautera de mon portable .;France;;;15-4-2010 17:56;Open Twitter Page for This Person;https://twitter.com/honeywellcom;Yes;;;;;
cnews;;;;;http://pbs.twimg.com/profile_images/1376551706289393667/FDuw3L5D_normal.jpg;;;;;"cnews

";;;;;;;;;;;;;;;;;;;721;1826069;269447;394;;Une chaîne TV d’information en continu, un quotidien gratuit, un site Internet et une appli mobile pour suivre toute l’actualité en France et dans le monde...;France;https://t.co/2jK52ps9H3;;26-12-2008 22:07;Open Twitter Page for This Person;https://twitter.com/cnews;No;;;;;
chrvm19;;;;;http://pbs.twimg.com/profile_images/1000324965294657536/aBL3LU0y_normal.jpg;;;;;"chrvm19

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;429;111;4170;7299;;Vader, reclameman, triviant wijsheden, weet het vaak ook niet maar wil altijd graag luisteren behalve naar extremisten Links en Rechts. 020 PSV Fan;Amsterdam;https://t.co/9rQKRAlSg8;;10-6-2011 12:11;Open Twitter Page for This Person;https://twitter.com/chrvm19;Yes;;;;;
changnoi2018;;;;;http://pbs.twimg.com/profile_images/1377529920549744642/aYwJmnIw_normal.jpg;;;;;"changnoi2018

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;38;4159;50448;21099;;/ Founder of the biggest #OTD archive in the 🌏 and still expanding! / #history / ondernemer /  Groningen / Netherlands;;;;17-4-2009 07:31;Open Twitter Page for This Person;https://twitter.com/changnoi2018;Yes;;;;;
rouzysc;;;;;http://pbs.twimg.com/profile_images/745624283142066176/VR9P6E-1_normal.jpg;;;;;"rouzysc

@MittRomney is one of the only
conservatives left in elected office.
When Trump abiding, #qanon conspiracy
spreadin… https://t.co/hWUgGiNko5";;;;;;;;;;;;;;;;;;;2783;819;3222;4223;;Rescued by Finn & Reagan. Former 2nd Vice-Chair @Chasngop Spokesman @RepublicEN. IG: RouzyStudios. Tweets my own & don’t reflect any organization.;Charleston, SC;https://t.co/wSmpnFROZx;;21-3-2011 19:40;Open Twitter Page for This Person;https://twitter.com/rouzysc;Yes;;;;;
mittromney;;;;;http://pbs.twimg.com/profile_images/964489716622966784/xbtCe2td_normal.jpg;;;;;"mittromney

";;;;;;;;;;;;;;;;;;;299;2136381;2013;17;;Husband, Father, Grandfather, Former Governor, U.S. Senator (R-UT). Follow @SenatorRomney for official updates.;Holladay, UT;https://t.co/dgU6xXHgmU;;23-6-2009 18:24;Open Twitter Page for This Person;https://twitter.com/mittromney;No;;;;;
cjmu;;;;;http://pbs.twimg.com/profile_images/1145353465260105728/OESPfEI5_normal.jpg;;;;;"cjmu

RT @PinkAntoine: Another Republican
to add to the actual cabal of pedophiles
and abusers, known as the GOP.
#GOPPedoRing #QAnon";;;;;;;;;;;;;;;;;;;803;609;170996;179019;;;Birmingham MI;;;8-3-2009 15:14;Open Twitter Page for This Person;https://twitter.com/cjmu;Yes;;;;;
pinkantoine;;;;;http://pbs.twimg.com/profile_images/1354243044464275456/veh3-CM6_normal.jpg;;;;;"pinkantoine

";;;;;;;;;;;;;;;;;;;1833;1957;5345;3640;;Scientist•Humanitarian•Designer•Gardner🌳she/her🌳fighting for DEMOCRACY worldwide🌳#DefundBergman🌳Rescue #SpecialNeedsPets🌳Joined July👇🏼2008;The Mitten #MI01;;;26-1-2021 23:06;Open Twitter Page for This Person;https://twitter.com/pinkantoine;No;;;;;
lismtal7234;;;;;http://pbs.twimg.com/profile_images/1386821059815657472/04ZtBjZg_normal.jpg;;;;;"lismtal7234

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;75;47;9441;6779;;Sarcasm is my middle name!!   FRUCK TRUMP!!!  BIDEN AND HARRIS are my heroes!! Animal lover.  Nature lover.;Pennsylvania, USA;;;22-8-2014 01:29;Open Twitter Page for This Person;https://twitter.com/lismtal7234;Yes;;;;;
mog7546;;;;;http://pbs.twimg.com/profile_images/1138403120965390342/Vx57XCw-_normal.jpg;;;;;"mog7546

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;39301;50783;809294;351910;;💚💚💚💚💚 Anti-Trump, Anti-NRA, Anti-Racist, Anti-homophobic, Anti Alt-White FAKE CHRISTIANS: #BLM, RESIST 💚💚💚End The FILIBUSTER 💚💚 NO DM’s;CANADA;https://t.co/dpfha9Bt6d;;23-3-2011 14:13;Open Twitter Page for This Person;https://twitter.com/mog7546;Yes;;;;;
richspence10;;;;;http://pbs.twimg.com/profile_images/1307652801879834624/QrxQGcpJ_normal.jpg;;;;;"richspence10

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;4972;768;23867;46007;;Not my first twitter rodeo. Retweets mean nothing.;Manhattan;;;16-10-2019 22:18;Open Twitter Page for This Person;https://twitter.com/richspence10;Yes;;;;;
enothewonderdog;;;;;http://pbs.twimg.com/profile_images/456413028934623232/SA9iCafd_normal.jpeg;;;;;"enothewonderdog

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;2845;1392;92844;45284;;"Captain's log: We are enroute to some planet whose name I cannot pronounce to do something really complicated that I don't understand
.";Brisbane;;;14-2-2010 07:39;Open Twitter Page for This Person;https://twitter.com/enothewonderdog;Yes;;;;;
lyyved;;;;;http://pbs.twimg.com/profile_images/1210981703/2010_0122_taishan2_normal.jpg;;;;;"lyyved

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;5001;1603;272907;127955;;#BlizzardOfUS. I wish I could follow everyone who follows me, but I’ve reached my limit. So many interests, too rigid Twitter.;Virginia, USA;;;26-2-2010 23:56;Open Twitter Page for This Person;https://twitter.com/lyyved;Yes;;;;;
kellyreynoldskd;;;;;http://pbs.twimg.com/profile_images/755608365733076993/Qa1bg-DA_normal.jpg;;;;;"kellyreynoldskd

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;4990;1067;45222;56538;;Free thinker, Progressive, Free Press, Lifelong work in progress, Fur mom, Literature lover, RN, Wanna Be Knitter, Episcopalian, Texan;Westover Hills, TX;;;12-9-2012 11:19;Open Twitter Page for This Person;https://twitter.com/kellyreynoldskd;Yes;;;;;
mricallball;;;;;http://pbs.twimg.com/profile_images/497068965550915584/H9yi7PAn_normal.jpeg;;;;;"mricallball

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;1126;717;59660;15082;;#1 OU Fan Facts matter over emotional based opinions ANYTHING WITH Q IN YOUR BIO WILL BE AUTOMATICALLY BLOCKED!!!!!;;;;6-8-2014 16:13;Open Twitter Page for This Person;https://twitter.com/mricallball;Yes;;;;;
corgiboys;;;;;http://pbs.twimg.com/profile_images/1049545071035633664/wT96zl6x_normal.jpg;;;;;"corgiboys

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;5002;1841;59106;21110;;;;;;12-3-2009 03:30;Open Twitter Page for This Person;https://twitter.com/corgiboys;Yes;;;;;
loverofbooks123;;;;;http://pbs.twimg.com/profile_images/967811331930824704/gdXZqQQs_normal.jpg;;;;;"loverofbooks123

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;1478;2345;266542;208266;;Liberal = human. I read historical fiction/biographies. ❤️PBS. School volunteer. I read to Grandkids via Skype. LOVE Biden!💙USA! MAIL-IN BALLOTS ARE ESSENTIAL!;USA;;;19-2-2018 00:50;Open Twitter Page for This Person;https://twitter.com/loverofbooks123;Yes;;;;;
paulat1962;;;;;http://pbs.twimg.com/profile_images/1352648998981574656/Wq-GEjSZ_normal.jpg;;;;;"paulat1962

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;2041;2283;41449;37574;;On the road full-time nomad. Seeing this great big beautiful country one state at a time. #BluePlanet #SaveOurForest;United States;;;5-9-2012 01:05;Open Twitter Page for This Person;https://twitter.com/paulat1962;Yes;;;;;
cynicalvision50;;;;;http://pbs.twimg.com/profile_images/490210542745686016/sljEO5Pz_normal.jpeg;;;;;"cynicalvision50

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;2472;2136;414200;18963;;"US-GOV'T-PATENT#6,630,507 ""Cannabinoids as Antioxidants & Neuroprotectants”Cannabis AS MEDICINE~Cures Cancer~
I BLOCK: TROLLS; NUMNUTZ, MORONS & Magats~JAIL45";EARTH;;;16-2-2011 15:30;Open Twitter Page for This Person;https://twitter.com/cynicalvision50;Yes;;;;;
sasmeijer;;;;;http://pbs.twimg.com/profile_images/1366285163391578114/4xXg9S9__normal.jpg;;;;;"sasmeijer

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;950;205;5468;25965;;"Herschrijven van tekst in 'de ruimste zin des woords'. Taaladvies.
Docent Nederlands. Speciaalbier. Wijn. 
Komt uit 010, woont in 020 #kanduswel";Amsterdam.;;;2-3-2010 00:21;Open Twitter Page for This Person;https://twitter.com/sasmeijer;Yes;;;;;
judithdoetmaar;;;;;http://pbs.twimg.com/profile_images/1373248975147524099/a2XOQLF4_normal.jpg;;;;;"judithdoetmaar

RT @rudybouma: Baudet's bron is
een #QAnon-aanhangster die gelooft
in een satanische, pedofiele, bloeddrinkende
elite. Ze noemt ook Obama e…";;;;;;;;;;;;;;;;;;;968;301;3678;4810;;#doetwelmee #geendorhout #teamschaap #ikwildieprik #deugneus of #deugkneus 🤪;;;;5-3-2009 19:21;Open Twitter Page for This Person;https://twitter.com/judithdoetmaar;Yes;;;;;
ss5726;;;;;http://pbs.twimg.com/profile_images/760439344066859008/bX1SPWlg_normal.jpg;;;;;"ss5726

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;5011;3336;96296;56386;;DEMOCRAT 😇🌊LEUKEMIA SURVIVOR 💪66 CHEVELLE OWNER 🔧🔩CEDAR POINT NUT🎢🎠👻  BROWNS DIEHARD 🐕🏈 NATURE/OUTDOOR /WATER GUY🏄🌊🚤🐾⚡UNION MEMBER;North Coast CLE;;;31-7-2011 02:21;Open Twitter Page for This Person;https://twitter.com/ss5726;Yes;;;;;
clarkturrent;;;;;http://pbs.twimg.com/profile_images/1305847926611210242/KE4shNCt_normal.jpg;;;;;"clarkturrent

@dannymndz Deja tu, yo tengo parientes
cercanísimos que creen en #QAnon.
Hazme el CH favor.";;;;;;;;;;;;;;;;;;;1439;588;12710;39884;;JD/LLM/PhD - @ITAM_Mx/@GeorgetownLaw. English Bulldogs. He/Him/His. 🇲🇽🇺🇸🏳️‍🌈;Washington, D. C.;;;28-3-2009 02:53;Open Twitter Page for This Person;https://twitter.com/clarkturrent;Yes;;;;;
